5074	15	4973	0	0
3225	23	2938	0	0
3230	12	117	0	0
5352	15	4973	0	0
9144	18	9139	0	0
2143	6	2045	0	0
1603	1	1596	0	0
850	1	679	0	0
2097	6	30	0	0
1030	1	1031	0	0
5764	23	12539	0	0
1070	1	411	0	0
5081	15	4973	0	0
206	1	207	0	0
2156	6	30	0	0
942	1	865	0	0
5244	15	4973	0	0
5119	15	4985	0	0
21	0	22	0	0
5258	15	4973	0	0
5358	15	4973	0	0
5364	15	4973	0	0
1796	3	1776	0	0
1018	1	863	0	0
1124	1	1125	0	0
5351	15	4973	0	0
96	0	97	0	0
9386	23	12511	0	0
977	1	353	0	0
2121	6	2122	0	0
5247	15	4973	0	0
4994	15	4973	0	0
5106	15	4983	0	0
5053	15	4973	0	0
333	1	294	0	0
5359	15	4973	0	0
5013	15	4973	0	0
5173	15	4973	0	0
9401	23	12508	0	0
2129	6	30	0	0
655	1	419	0	0
6973	23	12501	0	0
814	1	1001	0	0
130	1	131	0	0
5238	15	5088	0	0
751	1	411	0	0
1625	1	1596	0	0
5033	15	4973	0	0
5128	15	4973	0	0
502	18	9147	0	0
5290	15	4973	0	0
5231	15	4973	0	0
1622	1	1596	0	0
3239	12	2041	0	0
1562	1	764	0	0
75	1	76	0	0
431	1	189	0	0
498	1	499	0	0
5227	15	4973	0	0
5228	15	4973	0	0
293	1	294	0	0
1448	1	1449	0	0
1793	3	1776	0	0
3790	14	4261	0	0
5138	15	4973	0	0
5082	15	4973	0	0
5292	15	4973	0	0
12528	23	12532	0	0
109	0	110	0	0
2702	9	2703	0	0
619	1	507	0	0
282	1	696	0	0
5223	15	4973	0	0
5054	15	4973	0	0
4824	14	3710	0	0
1108	1	1001	0	0
1806	3	1776	0	0
5035	15	4973	0	0
5129	15	4973	0	0
887	1	865	0	0
1115	1	1116	0	0
6247	23	12509	0	0
1604	1	1596	0	0
538	1	540	0	0
9144	18	9136	0	0
199	1	189	0	0
1580	1	63	0	0
373	1	369	0	0
1808	3	1776	0	0
5050	15	4973	0	0
635	1	294	0	0
5213	15	4973	0	0
21	1	23	0	0
8943	23	12535	0	0
5130	15	4973	0	0
3135	11	3136	0	0
5269	15	4973	0	0
5208	15	4973	0	0
5206	15	4973	0	0
5175	15	4973	0	0
4394	14	3791	0	0
5277	15	4973	0	0
5239	15	4973	0	0
215	1	189	0	0
896	1	865	0	0
8282	23	12519	0	0
5235	15	4973	0	0
843	1	679	0	0
874	1	865	0	0
1026	1	1027	0	0
3709	14	3447	0	0
3184	12	2150	0	0
306	1	701	0	0
1794	3	1776	0	0
424	15	4986	0	0
5006	15	4986	0	0
5276	15	4973	0	0
1469	1	1449	0	0
75	0	76	0	0
1574	1	970	0	0
703	1	704	0	0
5226	15	4973	0	0
1484	1	155	0	0
760	15	4983	0	0
1354	1	1142	0	0
4979	15	4973	0	0
1472	1	155	0	0
5341	15	4973	0	0
197	1	189	0	0
3183	12	32	0	0
12503	23	12520	0	0
763	1	764	0	0
675	6	2051	0	0
2055	18	9138	0	0
5172	15	4973	0	0
376	1	369	0	0
5313	15	4973	0	0
633	1	294	0	0
5308	15	5088	0	0
548	1	540	0	0
1546	1	491	0	0
931	1	865	0	0
5030	15	4973	0	0
1638	1	1001	0	0
2990	23	12502	0	0
2169	6	29	0	0
924	1	865	0	0
5017	15	4973	0	0
516	1	95	0	0
911	1	912	0	0
1023	1	863	0	0
5176	15	4973	0	0
264	15	4973	0	0
5042	15	4973	0	0
581	1	582	0	0
5147	15	4973	0	0
895	1	865	0	0
1064	1	528	0	0
5115	15	4973	0	0
417	1	319	0	0
765	6	30	0	0
5099	15	4973	0	0
300	1	301	0	0
234	1	54	0	0
1400	1	411	0	0
2006	6	29	0	0
8756	23	12511	0	0
374	1	369	0	0
8692	23	12526	0	0
5261	15	4973	0	0
869	1	865	0	0
492	1	493	0	0
5161	15	4973	0	0
4547	14	3450	0	0
5186	15	4973	0	0
611	1	499	0	0
5255	15	4973	0	0
5254	15	4973	0	0
5212	15	4973	0	0
1401	1	411	0	0
5056	15	4973	0	0
5152	15	4973	0	0
5041	15	4986	0	0
5211	15	4973	0	0
622	1	507	0	0
1059	1	642	0	0
5011	15	4973	0	0
3044	10	3045	0	0
3637	14	3636	0	0
12513	23	3058	0	0
926	1	865	0	0
1819	3	1776	0	0
1223	1	1210	0	0
3134	11	3129	0	0
1103	1	528	0	0
1445	1	1125	0	0
5321	15	4973	0	0
3231	12	29	0	0
135	18	534	0	0
53	0	54	0	0
4978	15	4973	0	0
1785	3	1776	0	0
638	1	639	0	0
5225	15	4973	0	0
1576	1	419	0	0
5299	15	4973	0	0
722	1	1072	0	0
1118	1	528	0	0
546	1	540	0	0
5236	15	4973	0	0
1546	15	4983	0	0
2941	23	12510	0	0
1614	15	4982	0	0
104	0	107	0	0
5339	15	4973	0	0
561	1	95	0	0
9141	18	1076	0	0
1818	3	1776	0	0
2352	8	2353	0	0
753	18	752	0	0
5106	15	4982	0	0
3046	23	2928	0	0
5014	15	4973	0	0
811	1	416	0	0
7195	23	12531	0	0
776	1	493	0	0
5335	15	4973	0	0
5221	15	4973	0	0
1652	1	1512	0	0
5209	15	4973	0	0
981	1	294	0	0
1036	1	1027	0	0
690	15	4983	0	0
622	15	4983	0	0
739	15	5092	0	0
5275	15	4973	0	0
5069	15	4973	0	0
8204	23	2989	0	0
5265	15	4973	0	0
7406	23	3023	0	0
840	1	679	0	0
623	15	4983	0	0
1598	1	1596	0	0
4441	14	3710	0	0
1800	3	1776	0	0
1351	1	1210	0	0
8272	23	12515	0	0
1399	1	411	0	0
1457	1	155	0	0
1620	1	1596	0	0
135	18	854	0	0
886	1	865	0	0
1657	1	243	0	0
7018	19	1991	0	0
1068	1	540	0	0
2047	6	171	0	0
